,Make,Model,Style,Fuel_type,Transmission
514,Opel,Astra,Universal,Diesel,0
515,Nissan,Qashqai,Crossover,Diesel,0
516,Honda,Civic,Sedan,Hybrid,1
517,Audi,A4,Sedan,Petrol,1
518,Volkswagen,Passat,Universal,Metan/Propan,0
519,Citroen,Rare,Hatchback,Hybrid,1
520,Volkswagen,Tiguan,Crossover,Petrol,1
521,BMW,5 Series,Sedan,Petrol,1
522,Nissan,Qashqai,Crossover,Diesel,0
523,Seat,Rare,Hatchback,Diesel,0
524,Renault,Kadjar,Crossover,Diesel,1
525,Renault,Kadjar,Crossover,Diesel,1
526,Skoda,Fabia,Universal,Diesel,0
527,Dacia,Logan,Sedan,Diesel,0
528,Opel,Astra,Hatchback,Petrol,0
529,Nissan,Qashqai,Crossover,Diesel,0
530,Mercedes,E Class,Sedan,Diesel,1
531,BMW,X3,Crossover,Diesel,0
532,Renault,Megane,Universal,Diesel,1
533,Seat,Ibiza,Universal,Diesel,0
534,Ford,Kuga,Crossover,Diesel,1
535,Opel,Astra,Universal,Diesel,0
536,Mercedes,E Class,Sedan,Hybrid,1
537,Volkswagen,Jetta,Sedan,Hybrid,1
538,Vaz,Rare,Hatchback,Petrol,0
539,Volkswagen,Golf,Universal,Petrol,1
540,Dacia,Lodgy,Universal,Diesel,0
541,Skoda,Octavia,Hatchback,Petrol,0
542,Subaru,Rare,SUV,Petrol,1
543,Renault,Megane,Universal,Diesel,0
544,Volkswagen,Caddy,Minivan,Diesel,0
545,Nissan,Qashqai,SUV,Diesel,0
546,Ford,Focus,Universal,Diesel,0
547,Renault,Rare,Sedan,Diesel,0
548,Skoda,Octavia,Sedan,Petrol,0
549,Dacia,Logan Mcv,Combi,Diesel,0
550,Volkswagen,Passat,Universal,Petrol,0
551,Skoda,Rapid,Hatchback,Petrol,0
552,Skoda,Fabia,Universal,Diesel,0
553,Toyota,Corolla,Sedan,Diesel,0
554,Renault,Kadjar,Crossover,Diesel,1
555,Renault,Megane,Universal,Diesel,0
556,Dacia,Lodgy,Minivan,Diesel,0
557,Skoda,Fabia,Universal,Diesel,0
558,Mitsubishi,Outlander,SUV,Plug-in Hybrid,1
559,Renault,Rare,Hatchback,Petrol,1
560,Skoda,Fabia,Universal,Diesel,0
561,Renault,Megane,Hatchback,Diesel,0
562,Hyundai,Tucson,SUV,Petrol,1
563,Toyota,Avensis,Sedan,Petrol,1
564,Skoda,Fabia,Universal,Diesel,0
565,Opel,Corsa,Hatchback,Diesel,0
566,Audi,Rare,Hatchback,Petrol,0
567,BMW,5 Series,Sedan,Diesel,1
568,Nissan,Qashqai,Crossover,Diesel,0
569,Ford,Fiesta,Universal,Metan/Propan,0
570,Opel,Zafira,Minivan,Petrol,0
571,Citroen,Rare,Hatchback,Petrol,1
572,BMW,5 Series,Sedan,Diesel,1
573,Volkswagen,Vento,Sedan,Metan/Propan,0
574,Volvo,XC90,SUV,Diesel,1
